iter	Passed	Remaining
528	16455	45757
529	16484	45721
530	16513	45683
531	16546	45658
532	16574	45618
533	16603	45581
534	16631	45543
535	16658	45499
536	16687	45462
537	16715	45423
538	16745	45389
539	16773	45351
540	16804	45318
541	16840	45301
542	16870	45268
543	16896	45223
544	16930	45199
545	16958	45159
546	16989	45128
547	17024	45107
548	17059	45087
549	17088	45050
550	17122	45028
551	17150	44988
552	17178	44950
553	17215	44933
554	17244	44897
555	17270	44854
556	17301	44822
557	17332	44790
558	17363	44759
559	17393	44725
560	17425	44697
561	17459	44674
562	17488	44638
563	17514	44594
564	17548	44571
565	17581	44544
566	17615	44520
567	17643	44481
568	17677	44458
569	17708	44426
570	17736	44387
571	17768	44358
572	17798	44324
573	17826	44287
574	17857	44256
575	17890	44230
576	17918	44190
577	17945	44150
578	17971	44106
579	18001	44072
580	18030	44036
581	18057	43996
582	18089	43968
583	18118	43932
584	18148	43897
585	18174	43853
586	18210	43834
587	18236	43792
588	18265	43757
589	18299	43733
590	18329	43699
591	18361	43671
592	18395	43647
593	18430	43624
594	18461	43594
595	18488	43554
596	18521	43528
597	18550	43490
598	18578	43452
599	18605	43412
600	18639	43388
601	18673	43364
602	18703	43330
603	18737	43306
604	18767	43274
605	18796	43238
606	18830	43214
607	18861	43181
608	18887	43141
609	18915	43103
610	18945	43068
611	18974	43034
612	19009	43012
613	19038	42977
614	19064	42934
615	19095	42903
616	19124	42868
617	19157	42840
618	19188	42809
619	19222	42784
620	19256	42760
621	19283	42721
622	19311	42684
623	19346	42662
624	19374	42623
625	19402	42586
626	19430	42549
627	19459	42512
628	19486	42474
629	19517	42442
630	19548	42412
631	19574	42369
632	19604	42337
633	19635	42306
634	19666	42274
635	19700	42251
636	19732	42222
637	19760	42183
638	19793	42158
639	19825	42129
640	19855	42095
641	19882	42057
642	19913	42026
643	19941	41988
644	19975	41963
645	20004	41929
646	20036	41900
647	20071	41876
648	20099	41841
649	20135	41820
650	20168	41792
651	20202	41769
652	20231	41732
653	20258	41693
654	20290	41664
655	20318	41627
656	20347	41593
657	20380	41565
658	20407	41528
659	20434	41488
660	20465	41456
661	20496	41425
662	20527	41394
663	20558	41365
664	20585	41325
665	20614	41291
666	20642	41254
667	20671	41219
668	20706	41196
669	20740	41172
670	20771	41140
671	20802	41109
672	20837	41086
673	20863	41045
674	20890	41007
675	20916	40967
676	20947	40935
677	20974	40896
678	21001	40858
679	21028	40820
680	21057	40784
681	21087	40752
682	21116	40718
683	21146	40685
684	21181	40661
685	21208	40623
686	21238	40590
687	21271	40563
688	21298	40525
689	21327	40491
690	21355	40454
691	21385	40421
692	21412	40384
693	21440	40348
694	21469	40313
695	21499	40280
696	21527	40244
697	21557	40211
698	21591	40186
699	21624	40159
700	21654	40126
701	21685	40095
702	21712	40058
703	21740	40021
704	21766	39982
705	21803	39962
706	21834	39931
707	21868	39906
708	21903	39883
709	21939	39862
710	21973	39837
711	22001	39800
712	22029	39763
713	22060	39732
714	22088	39697
715	22114	39658
716	22141	39620
717	22172	39588
718	22199	39551
719	22233	39526
720	22263	39493
721	22297	39467
722	22326	39433
723	22354	39398
724	22388	39373
725	22419	39342
726	22446	39303
727	22474	39268
728	22502	39232
729	22533	39202
730	22562	39168
731	22591	39133
732	22619	39098
733	22647	39062
734	22677	39029
735	22705	38994
736	22738	38967
737	22766	38931
738	22801	38906
739	22836	38884
740	22871	38859
741	22899	38825
742	22926	38786
743	22955	38753
744	22987	38723
745	23015	38689
746	23044	38653
747	23076	38625
748	23104	38590
749	23134	38557
750	23163	38524
751	23191	38488
752	23223	38458
753	23250	38422
754	23280	38389
755	23309	38355
756	23336	38318
757	23370	38292
758	23400	38260
759	23429	38227
760	23456	38190
761	23486	38158
762	23520	38131
763	23548	38097
764	23577	38062
765	23604	38026
766	23640	38002
767	23667	37966
768	23694	37929
769	23722	37894
770	23752	37861
771	23781	37827
772	23813	37800
773	23841	37763
774	23866	37725
775	23898	37695
776	23934	37673
777	23964	37641
778	23994	37608
779	24023	37575
780	24055	37546
781	24085	37514
782	24118	37486
783	24148	37454
784	24181	37428
785	24216	37402
786	24245	37370
787	24277	37341
788	24306	37307
789	24340	37281
790	24375	37256
791	24409	37230
792	24439	37198
793	24476	37177
794	24508	37148
795	24538	37116
796	24566	37081
797	24594	37046
798	24632	37025
799	24664	36996
800	24694	36964
801	24726	36935
802	24765	36916
803	24800	36892
804	24835	36866
805	24873	36846
806	24908	36821
807	24940	36792
808	24978	36773
809	25011	36745
810	25044	36717
811	25078	36690
812	25114	36667
813	25150	36644
814	25188	36623
815	25218	36590
816	25253	36566
817	25288	36541
818	25320	36511
819	25351	36481
820	25381	36449
821	25414	36420
822	25445	36391
823	25485	36371
824	25517	36342
825	25551	36316
826	25580	36282
827	25613	36254
828	25647	36227
829	25679	36198
830	25708	36165
831	25738	36132
832	25776	36111
833	25805	36078
834	25843	36056
835	25878	36031
836	25909	36001
837	25940	35969
838	25970	35937
839	26009	35917
840	26049	35898
841	26082	35871
842	26115	35842
843	26152	35820
844	26185	35792
845	26213	35756
846	26241	35722
847	26274	35693
848	26306	35663
849	26335	35629
850	26372	35608
851	26406	35580
852	26440	35553
853	26477	35531
854	26510	35502
855	26547	35479
856	26581	35452
857	26613	35422
858	26645	35392
859	26674	35359
860	26705	35327
861	26741	35303
862	26774	35275
863	26809	35249
864	26842	35220
865	26874	35191
866	26905	35160
867	26938	35132
868	26971	35103
869	27003	35073
870	27033	35040
871	27071	35019
872	27105	34992
873	27141	34967
